Id,Label,Size,modularity_class
qcew,qcew,1,5
coarsening,coarsening,1,5
covariate balance,covariate balance,4,2
compromise plan,compromise plan,1,4
stick-breaking,stick-breaking,3,5
simple random sampling,simple random sampling,2,0
plug-in-estimator,plug-in-estimator,1,2
central symmetry,central symmetry,1,7
molecular marker,molecular marker,1,0
higher-order spectra,higher-order spectra,1,6
optimal error rate,optimal error rate,1,5
dynamic principal component,dynamic principal component,1,4
mean,mean,1,1
prediction accuracy,prediction accuracy,1,8
hac estimator,hac estimator,1,2
global test,global test,1,6
implicit function theorem,implicit function theorem,1,2
weighted nearest,weighted nearest,1,7
sample coordination,sample coordination,1,7
method of sieves,method of sieves,1,8
approximations,approximations,1,5
interactive effects,interactive effects,1,7
missingness not,missingness not,1,0
classifier performance,classifier performance,1,1
non-convex optimization,non-convex optimization,1,0
stein's estimator,stein's estimator,1,5
signal sequence,signal sequence,1,0
hierarchical data,hierarchical data,1,4
single-nucleotide polymorphisms,single-nucleotide polymorphisms,2,6
locally efficient estimation,locally efficient estimation,1,8
partial volume effect,partial volume effect,1,6
statistical efficiency,statistical efficiency,1,5
time models,time models,2,2
box-cox transformations,box-cox transformations,1,7
coherent combination formula,coherent combination formula,1,1
cardiovascular outcomes,cardiovascular outcomes,1,7
identifiability,identifiability,34,1
matern process,matern process,1,6
testing for interaction,testing for interaction,1,8
generalized score test,generalized score test,1,6
numerical approximation,numerical approximation,1,6
computational lower bounds,computational lower bounds,1,8
bregman function,bregman function,1,4
generating process,generating process,1,2
schizophrenia trial,schizophrenia trial,1,3
self-induced characterization,self-induced characterization,1,2
modulated poisson process,modulated poisson process,1,6
compatible conditionals,compatible conditionals,1,4
noise model,noise model,2,0
prediction robustness,prediction robustness,1,3
one-parameter exponential,one-parameter exponential,1,1
global partial likelihood,global partial likelihood,1,2
individualized treatment rule,individualized treatment rule,4,2
heavy-tailed noises,heavy-tailed noises,1,8
fixed-point optimization,fixed-point optimization,1,3
nonparametric minimax estimation,nonparametric minimax estimation,1,8
empirical calibration,empirical calibration,1,6
elliptical symmetry,elliptical symmetry,2,5
cluster-robust standard errors,cluster-robust standard errors,1,5
bayesian false,bayesian false,1,4
smoothing spline regression,smoothing spline regression,1,8
information criterion,information criterion,19,1
restricted uniform boundedness,restricted uniform boundedness,1,5
specificity,specificity,7,4
sdp relaxation,sdp relaxation,1,4
abic,abic,1,4
bayesian computation,bayesian computation,3,3
optimal minimax rates,optimal minimax rates,1,3
local asymptotic,local asymptotic,1,7
extreme-value copula,extreme-value copula,1,4
marginal homogeneity,marginal homogeneity,2,3
low dimensional projection,low dimensional projection,1,6
chemometrics,chemometrics,2,2
subsampling extrapolation,subsampling extrapolation,1,5
unit root test,unit root test,1,7
grouped accrual,grouped accrual,1,6
clinical design,clinical design,1,6
data matching,data matching,2,0
model evaluation,model evaluation,4,2
joint central subspace,joint central subspace,1,4
image data analysis,image data analysis,1,5
and reconstruction,and reconstruction,1,8
data-splitting,data-splitting,1,2
orthogonal basis,orthogonal basis,1,7
semiparametric estimation,semiparametric estimation,30,6
component selection,component selection,2,1
infinite mean model,infinite mean model,1,8
local convergence,local convergence,1,4
nonparametric goodness-of-fit test,nonparametric goodness-of-fit test,1,8
air pollution data,air pollution data,1,6
moment condition,moment condition,2,7
truncation,truncation,6,1
time series data,time series data,1,6
mode detection,mode detection,1,8
martingale difference divergence,martingale difference divergence,1,8
endpoints,endpoints,1,6
mauchly's test,mauchly's test,1,2
algebraic mapping,algebraic mapping,1,8
interest parameter,interest parameter,2,5
temporal modelling,temporal modelling,1,8
non-response,non-response,3,0
walsh functions,walsh functions,1,6
marginal coordinate test,marginal coordinate test,2,4
directional data,directional data,14,8
banded matrix,banded matrix,1,0
randomized trees,randomized trees,1,8
species sampling model,species sampling model,2,8
maximin optimal design,maximin optimal design,1,8
and selection,and selection,2,7
wrapped cauchy distribution,wrapped cauchy distribution,5,8
trajectory,trajectory,1,3
function modeling,function modeling,1,8
nonsmooth estimator,nonsmooth estimator,1,4
classification and clustering,classification and clustering,1,5
subspace learning,subspace learning,1,1
quasi-maximum-likelihood estimation,quasi-maximum-likelihood estimation,3,2
intermittency,intermittency,1,4
pinsker's constant,pinsker's constant,1,1
wald's equation,wald's equation,1,3
large matrix estimation,large matrix estimation,1,0
yule-simpson paradox,yule-simpson paradox,3,6
high-dimensional biology,high-dimensional biology,1,2
statistical depth functions,statistical depth functions,1,5
ronald aylmer fisher,ronald aylmer fisher,1,3
nonparametric bayesian model,nonparametric bayesian model,1,3
outcome dependent sampling,outcome dependent sampling,1,1
model selection,model selection,164,2
prospective family study,prospective family study,1,7
group-lasso,group-lasso,1,7
invariant prior,invariant prior,1,2
threshold,threshold,7,1
hub model,hub model,1,0
transformation model,transformation model,13,1
fraser information,fraser information,1,5
convex constraints,convex constraints,1,8
selection probability,selection probability,1,1
balanced incomplete-block designs,balanced incomplete-block designs,1,0
convex optimization,convex optimization,20,0
moderate deviation,moderate deviation,6,2
directional tests,directional tests,1,5
balancing covariates,balancing covariates,1,6
sparse recovery,sparse recovery,6,8
powers of wavelets,powers of wavelets,1,6
goodness-of-fit statistic,goodness-of-fit statistic,3,2
missing completely,missing completely,2,3
statistical inverse problems,statistical inverse problems,4,6
marine ecology,marine ecology,1,4
domain selection,domain selection,1,7
multiple simultaneous interventions,multiple simultaneous interventions,1,5
forecast verification,forecast verification,2,7
maximin,maximin,4,2
multi-stage analysis,multi-stage analysis,1,2
schwarz bayesian,schwarz bayesian,1,8
trigonometric series,trigonometric series,3,5
lifetime data,lifetime data,1,1
foundations of statistics,foundations of statistics,1,1
quantum cuts,quantum cuts,1,7
projective geometry,projective geometry,2,0
flow model,flow model,1,4
regression estimator,regression estimator,3,7
saccharomyces cerevisiae,saccharomyces cerevisiae,1,0
narrow-band estimation,narrow-band estimation,1,0
biometrika,biometrika,2,2
stochastic frontier,stochastic frontier,1,2
bayes factor,bayes factor,27,2
spatially correlated counts,spatially correlated counts,1,2
optimal rate,optimal rate,15,6
extremes,extremes,4,0
integrated covariance matrix,integrated covariance matrix,1,7
of tests,of tests,1,3
crofton's formula,crofton's formula,1,2
greenwood's formula,greenwood's formula,1,4
cramer large deviation,cramer large deviation,1,4
dynamic simulator,dynamic simulator,1,0
dirichlet process mixtures,dirichlet process mixtures,2,7
macwilliams identity,macwilliams identity,1,4
multivariate lindeberg condition,multivariate lindeberg condition,1,5
analysis of covariance,analysis of covariance,4,4
matern model,matern model,1,4
online classification,online classification,1,7
scrambled geometric net,scrambled geometric net,1,6
stationary spatial,stationary spatial,1,0
second-order term,second-order term,1,0
spot correlation,spot correlation,1,7
carlo algorithm,carlo algorithm,2,6
statistical manifold,statistical manifold,2,0
endogeneity,endogeneity,2,6
backward induction,backward induction,1,4
double one-sided cross-validation,double one-sided cross-validation,1,1
universal estimator,universal estimator,1,7
generalized bayes,generalized bayes,1,2
conditional dirichlet process,conditional dirichlet process,1,6
asymptotic gaussian process,asymptotic gaussian process,1,7
hierarchical and,hierarchical and,1,6
residual maximum quasi-likelihood,residual maximum quasi-likelihood,1,3
proportional odds model,proportional odds model,12,4
icm,icm,1,0
bandwidth,bandwidth,37,5
point pattern data,point pattern data,1,1
global optimization,global optimization,4,1
nonidentifiability ability,nonidentifiability ability,1,8
local average,local average,3,1
random fields,random fields,10,4
mixtures of,mixtures of,5,0
nonparametric likelihood,nonparametric likelihood,14,3
supremum of,supremum of,1,0
degree corrected block model (dcbm),degree corrected block model (dcbm),1,7
pretest estimator,pretest estimator,1,8
censored observation,censored observation,1,2
differential isoform expression,differential isoform expression,1,5
bayesian models,bayesian models,1,7
ito semimartingales,ito semimartingales,1,0
current status,current status,2,4
density contour,density contour,1,0
outer product estimator,outer product estimator,1,5
extreme weights,extreme weights,2,2
g-priors,g-priors,3,3
local linear smoothing,local linear smoothing,8,2
mills' ratio,mills' ratio,1,0
two-stage estimation,two-stage estimation,4,3
bayesian model assessment,bayesian model assessment,1,8
iteratively weighted,iteratively weighted,1,2
rem,rem,1,7
extreme value theory,extreme value theory,15,0
circulant orthogonal array,circulant orthogonal array,1,8
scheffe's method,scheffe's method,1,0
multivariate time series,multivariate time series,14,7
airline delay,airline delay,1,8
eblup,eblup,1,4
particle methods,particle methods,2,0
powerful test,powerful test,2,6
bayesian nonlinear regression,bayesian nonlinear regression,1,6
sequential quasi-monte-carlo method,sequential quasi-monte-carlo method,1,8
functional depth,functional depth,1,1
local mle,local mle,1,0
error prone,error prone,1,1
limited information,limited information,1,1
homogeneity,homogeneity,3,7
component analysis,component analysis,21,4
tie,tie,1,8
singular kernel,singular kernel,1,8
havrda-charvat entropy,havrda-charvat entropy,2,2
threshold hyperplane,threshold hyperplane,1,0
multivariate location,multivariate location,2,5
prediction bands,prediction bands,1,3
penalty methods,penalty methods,1,3
next-generation sequencing,next-generation sequencing,1,2
quadrant test,quadrant test,1,3
length pattern,length pattern,1,3
asymptotically gaussian,asymptotically gaussian,1,1
non-commutative probability space,non-commutative probability space,1,0
elliptical distribution,elliptical distribution,5,6
